step,pico_loss_total
1,12.2251050472
2,11.6531317234
3,12.2002937794
4,11.8780221343
5,11.5573447347
6,11.2385581136
7,11.842040956
8,12.2565851212
9,11.9683218598
10,11.6360807419
11,11.482529521
12,12.2081040144
13,11.1526741385
14,13.1713828444
15,10.8731147647
16,11.4733626842
17,10.7751145959
18,11.0001176596
19,11.9921214581
20,11.99108392
21,11.4603788853
22,11.4353784323
23,11.7571733594
24,11.8077323437
25,11.606146872
26,10.8665482402
27,10.7601158023
28,11.6052003503
29,13.255048871
30,12.4451358318
31,11.5860394537
32,10.7386945784
33,10.8822398782
34,10.4704219103
35,11.7032763958
36,10.7074705362
37,11.3867850304
38,11.6778481007
39,10.7267865539
40,11.5778985023
41,10.8204398155
42,11.7188506722
43,11.4092801809
44,12.1274006367
45,12.0842701793
46,11.8746853471
47,11.8315580487
48,10.373136878
49,11.6232976317
50,11.6180197001
51,10.5254260898
52,11.2622181773
53,11.6285077929
54,11.8774604201
55,11.7366973162
56,13.4815675616
57,10.6701702774
58,12.6943062544
59,12.4849237204
60,11.5273621678
61,11.0760560632
62,12.1713418365
63,12.0967747569
64,11.900580287
65,12.009125948
66,11.398165822
67,11.3400331736
68,12.6284951568
69,11.6782808304
70,10.8640384674
71,11.9497230649
72,12.5630652308
73,12.403958559
74,11.6631396413
75,11.0343888402
76,12.4213603735
77,11.1647588015
78,11.0487343073
79,11.1608591676
80,10.7965114117
81,11.614918828
82,11.7173907757
83,10.3442934752
84,11.0829898715
85,11.9500514269
86,11.3724219799
87,12.3990529776
88,12.7543538809
89,10.5844272375
90,12.2019589543
91,11.1806536913
92,10.6212621331
93,12.4484930038
94,11.4834445119
95,10.2149882913
96,11.3278334737
97,11.7159838676
98,10.3242479563
99,11.3893533349
100,11.194896996
